套装属性ID,套装名称,2件套属性ID,数值,4件套属性ID,数值,6件套属性ID,数值,8件套属性ID,数值,套装装备ID1,套装装备ID2,套装装备ID3,套装装备ID4,套装装备ID5,套装装备ID6,套装装备ID7,套装装备ID8,套装特效ID,备注
2102040,定风波,7,23,11,23,9,23,5,24,22102040,21102040,20102040,25102040,26102040,27102040,28102040,29102040,30011,法攻20级品质4(副本套装)
2102540,青丘,7,26,11,26,9,26,5,28,22102540,21102540,20102540,25102540,26102540,27102540,28102540,29102540,30011,法攻25级品质4(副本套装)
2103040,圆常无,7,40,11,40,9,40,5,41,22103040,21103040,20103040,25103040,26103040,27103040,28103040,29103040,30011,法攻30级品质4(副本套装)
2103540,蕊珠宫,7,44,11,44,9,44,5,47,22103540,21103540,20103540,25103540,26103540,27103540,28103540,29103540,30011,法攻35级品质4(副本套装)
2104040,冥狱玄冰,7,61,11,61,9,61,5,64,22104040,21104040,20104040,25104040,26104040,27104040,28104040,29104040,30011,法攻40级品质4(副本套装)
2104540,三界无光,7,67,11,67,9,67,5,70,22104540,21104540,20104540,25104540,26104540,27104540,28104540,29104540,30011,法攻45级品质4(副本套装)
2105040,夸父逐日,7,86,11,86,9,86,5,92,22105040,21105040,20105040,25105040,26105040,27105040,28105040,29105040,30011,法攻50级品质4(副本套装)
2105540,日月同辉,7,95,11,95,9,95,5,99,22105540,21105540,20105540,25105540,26105540,27105540,28105540,29105540,30011,法攻55级品质4(副本套装)
2106040,神怒之光,7,118,11,118,9,118,5,123,22106040,21106040,20106040,25106040,26106040,27106040,28106040,29106040,30011,法攻60级品质4(副本套装)
3101030,重玄,7,10,4,5,6,5,1,77,32101030,31101030,30101030,35101030,36101030,37101030,38101030,39101030,30010,防御10级品质3(副本套装)
3102030,地豁,7,20,4,10,6,10,1,160,32102030,31102030,30102030,35102030,36102030,37102030,38102030,39102030,30010,防御20级品质3(副本套装)
3102530,碧光,7,23,4,11,6,11,1,186,32102530,31102530,30102530,35102530,36102530,37102530,38102530,39102530,30010,防御25级品质3(副本套装)
3103030,孤绝,7,35,4,17,6,17,1,277,32103030,31103030,30103030,35103030,36103030,37103030,38103030,39103030,30010,防御30级品质3(副本套装)
3103530,掩日,7,39,4,18,6,18,1,311,32103530,31103530,30103530,35103530,36103530,37103530,38103530,39103530,30010,防御35级品质3(副本套装)
3104030,步月登云,7,54,4,26,6,26,1,426,32104030,31104030,30104030,35104030,36104030,37104030,38104030,39104030,30010,防御40级品质3(副本套装)
3104530,众虎同心,7,59,4,28,6,28,1,470,32104530,31104530,30104530,35104530,36104530,37104530,38104530,39104530,30010,防御45级品质3(副本套装)
3105030,飞龙乘云,7,77,4,37,6,37,1,609,32105030,31105030,30105030,35105030,36105030,37105030,38105030,39105030,30010,防御50级品质3(副本套装)
3105530,破军纵横,7,84,4,40,6,40,1,662,32105530,31105530,30105530,35105530,36105530,37105530,38105530,39105530,30010,防御55级品质3(副本套装)
3106030,百步穿杨,7,105,4,50,6,50,1,825,32106030,31106030,30106030,35106030,36106030,37106030,38106030,39106030,30010,防御60级品质3(副本套装)
3101040,游龙,7,11,4,5,6,5,1,86,32101040,31101040,30101040,35101040,36101040,37101040,38101040,39101040,30011,防御10级品质4(副本套装)
3102040,三鬼台,7,23,4,11,6,11,1,180,32102040,31102040,30102040,35102040,36102040,37102040,38102040,39102040,30011,防御20级品质4(副本套装)
3102540,招摇,7,26,4,13,6,13,1,210,32102540,31102540,30102540,35102540,36102540,37102540,38102540,39102540,30011,防御25级品质4(副本套装)
3103040,日中神,7,40,4,19,6,19,1,311,32103040,31103040,30103040,35103040,36103040,37103040,38103040,39103040,30011,防御30级品质4(副本套装)
3103540,仙台宝,7,44,4,21,6,21,1,350,32103540,31103540,30103540,35103540,36103540,37103540,38103540,39103540,30011,防御35级品质4(副本套装)
3104040,大日金焰,7,61,4,29,6,29,1,480,32104040,31104040,30104040,35104040,36104040,37104040,38104040,39104040,30011,防御40级品质4(副本套装)
3104540,横扫六合,7,67,4,32,6,32,1,528,32104540,31104540,30104540,35104540,36104540,37104540,38104540,39104540,30011,防御45级品质4(副本套装)
3105040,精卫填海,7,86,4,41,6,41,1,685,32105040,31105040,30105040,35105040,36105040,37105040,38105040,39105040,30011,防御50级品质4(副本套装)
3105540,日月合璧,7,95,4,45,6,45,1,744,32105540,31105540,30105540,35105540,36105540,37105540,38105540,39105540,30011,防御55级品质4(副本套装)
3106040,血魔之煞,7,118,4,56,6,56,1,928,32106040,31106040,30106040,35106040,36106040,37106040,38106040,39106040,30011,防御60级品质4(副本套装)
4101030,玄黄,8,10,4,5,6,5,1,77,42101030,41101030,40101030,45101030,46101030,47101030,48101030,49101030,30010,治疗10级品质3(副本套装)
4102030,天光,8,20,4,10,6,10,1,160,42102030,41102030,40102030,45102030,46102030,47102030,48102030,49102030,30010,治疗20级品质3(副本套装)
4102530,天虹,8,23,4,11,6,11,1,186,42102530,41102530,40102530,45102530,46102530,47102530,48102530,49102530,30010,治疗25级品质3(副本套装)
4103030,断情,8,35,4,17,6,17,1,277,42103030,41103030,40103030,45103030,46103030,47103030,48103030,49103030,30010,治疗30级品质3(副本套装)
4103530,花影,8,39,4,18,6,18,1,311,42103530,41103530,40103530,45103530,46103530,47103530,48103530,49103530,30010,治疗35级品质3(副本套装)
4104030,镜花水月,8,54,4,26,6,26,1,426,42104030,41104030,40104030,45104030,46104030,47104030,48104030,49104030,30010,治疗40级品质3(副本套装)
4104530,如虎添翼,8,59,4,28,6,28,1,470,42104530,41104530,40104530,45104530,46104530,47104530,48104530,49104530,30010,治疗45级品质3(副本套装)
4105030,炎黄始龙,8,77,4,37,6,37,1,609,42105030,41105030,40105030,45105030,46105030,47105030,48105030,49105030,30010,治疗50级品质3(副本套装)
4105530,天机权变,8,84,4,40,6,40,1,662,42105530,41105530,40105530,45105530,46105530,47105530,48105530,49105530,30010,治疗55级品质3(副本套装)
4106030,百炼成钢,8,105,4,50,6,50,1,825,42106030,41106030,40106030,45106030,46106030,47106030,48106030,49106030,30010,治疗60级品质3(副本套装)
4101040,卧龙,8,11,4,5,6,5,1,86,42101040,41101040,40101040,45101040,46101040,47101040,48101040,49101040,30011,治疗10级品质4(副本套装)
4102040,迷仙香,8,23,4,11,6,11,1,180,42102040,41102040,40102040,45102040,46102040,47102040,48102040,49102040,30011,治疗20级品质4(副本套装)
4102540,昆仑,8,26,4,13,6,13,1,210,42102540,41102540,40102540,45102540,46102540,47102540,48102540,49102540,30011,治疗25级品质4(副本套装)
4103040,月中神,8,40,4,19,6,19,1,311,42103040,41103040,40103040,45103040,46103040,47103040,48103040,49103040,30011,治疗30级品质4(副本套装)
4103540,玄门,8,44,4,21,6,21,1,350,42103540,41103540,40103540,45103540,46103540,47103540,48103540,49103540,30011,治疗35级品质4(副本套装)
4104040,虚无赑风,8,61,4,29,6,29,1,480,42104040,41104040,40104040,45104040,46104040,47104040,48104040,49104040,30011,治疗40级品质4(副本套装)
4104540,四大皆空,8,67,4,32,6,32,1,528,42104540,41104540,40104540,45104540,46104540,47104540,48104540,49104540,30011,治疗45级品质4(副本套装)
4105040,金乌出世,8,86,4,41,6,41,1,685,42105040,41105040,40105040,45105040,46105040,47105040,48105040,49105040,30011,治疗50级品质4(副本套装)
4105540,日月同光,8,95,4,45,6,45,1,744,42105540,41105540,40105540,45105540,46105540,47105540,48105540,49105540,30011,治疗55级品质4(副本套装)
4106040,妖王之怒,8,118,4,56,6,56,1,928,42106040,41106040,40106040,45106040,46106040,47106040,48106040,49106040,30011,治疗60级品质4(副本套装)
