id,任务名,任务类型,需求等级,境界限制,前置任务id,接取地图ID,接取npcID,接取奖励物品id,交付地图ID,交付npcID,交付奖励物品ID,交付奖励人物经验,交付奖励境界经验,货币属性ID,数量,任务条件类型,条件参数1,条件参数2,任务目标地图id,任务目标点,每日可做次数,可接任务对话,接取任务对话,接取取任对话后传送地图ID,传送地图位置,可交任务对话,交付任务对话,任务目标描述,任务描述
15,测试灵根,0,8,0,14,1001,1009,0,1001,1009,30006,5000,0,0,0,7,2,1,1001,16#13,0,28,0,0,0,29,0,做一次灵根测试,大师兄给你进行一次灵根测试，早就知道自己根骨清奇，绝非常人嘛！
16,小试身手,0,8,0,15,1001,1009,0,1001,1009,0,5000,0,0,0,1,100103,1,1001,9#31,0,30,0,0,0,31,0,捉拿小毛贼练练手,大师兄给你输入了一些正能量，你兴奋地赶紧跑去砍砍怪才好。
17,采集仙草,0,9,0,16,1001,1009,0,1001,1009,0,8000,0,0,0,7,3,3,1001,23#12,0,32,0,0,0,33,0,采集一些仙草,大师兄让你去采集一些仙草，以备不时之需。
18,寻找童子,0,9,0,17,1001,1009,0,1001,1010,0,12000,0,0,0,0,1010,35,1001,30#20,0,34,0,0,0,35,0,寻找归元童子,大师兄让你去寻找归元童子。这个童子有点傲娇……
19,新手帮助,1,9,0,17,1001,1009,0,1001,1009,0,1000,0,0,0,0,1009,37,1001,18#11,0,36,0,0,0,37,0,学习游戏帮助,这次元竟然还有一份详尽的游戏指南，有疑问就戳一戳。
20,帮忙解气,0,10,0,18,1001,1010,0,1001,1010,30007,20000,0,0,0,1,100104,3,1001,34#20,0,38,0,0,0,39,0,帮童子惩罚白虎,这么傲娇的正太肯定受欺负，还是帮他解解气好了。
21,跑腿送物,0,10,0,20,1001,1010,0,1001,1011,0,20000,0,0,0,0,1011,41,1001,35#8,0,40,0,0,0,41,0,送东西给空妙儿,童子那么小就知道讨好女孩子，算了不跟小孩子计较，帮他送东西了。
22,帮忙求情,0,10,0,20,1001,1010,0,1001,1009,0,30000,0,0,0,0,1009,43,1001,18#11,0,42,0,0,0,43,0,帮童子向师兄求情,童子在大师兄的衣服上画了涂鸦，怕被师兄责罚，让你帮忙求情。
23,毋庸担心,0,10,0,22,1001,1009,0,1001,1010,0,30000,0,0,0,0,1010,45,1001,30#20,0,44,0,0,0,45,0,告诉童子别担心,师兄让你告诉童子不必担心，空妙儿已将衣服洗过了。
24,感谢妙儿,0,10,0,23,1001,1010,0,1001,1011,0,40000,0,0,0,0,1011,47,1001,35#8,0,46,0,0,0,47,0,感谢空妙儿,童子让你帮忙去感谢空妙儿，这两个小鬼真是让人够够的。
25,制作丹药,0,12,0,24,1001,1011,0,1001,1011,0,40000,0,0,0,1,100105,5,1001,40#10,0,48,0,0,0,49,0,采集火猿爪,空妙儿眨着水汪汪的大眼让你帮忙采集火猿爪，你感觉谁见谁怜不帮不行。
26,捕捉宠物,0,13,0,25,1001,1011,0,1001,1011,0,50000,0,0,0,1,100106,2,1001,53#13,0,50,0,0,0,51,0,采集三尾云狐,美丽的三尾云狐十分狡猾，空妙儿让你多费些功夫捕捉一些回来。
27,支援师叔,0,13,0,26,1001,1011,0,1001,1012,30008,60000,0,0,0,0,1012,53,1001,49#27,0,52,0,0,0,53,0,去找元虚师叔,元虚师叔在附近处理事务，空妙儿让你去帮帮忙。
28,碰碰手气,1,13,0,26,1001,1011,0,1001,1011,0,1000,0,0,0,0,1011,55,1001,35#8,0,54,0,0,0,55,0,天降奇缘,运气也是一种实力，快来抽个箱子，看看自己实力如何。
29,查看情况,0,14,0,27,1001,1012,0,1001,1012,0,65000,0,0,0,1,100107,1,1001,53#25,0,56,0,0,0,57,0,抓只怪鸟,元虚师叔让你去查看附近情况，附近生物都发狂成了怪物。
30,狂乱的怪鸟,0,14,0,29,1001,1012,0,1001,1012,0,65000,0,0,0,1,100107,5,1001,53#25,0,58,0,0,0,59,0,铲除狂乱的怪鸟,元虚师叔不相信你的实力，让你铲除一些较为低阶的发狂怪鸟。
31,失控的树精,0,14,0,30,1001,1012,0,1001,1012,0,70000,0,0,0,1,100108,3,1001,46#32,0,60,0,0,0,61,0,铲除失控的树精,后山的树精不知为何忽然失控，元虚师叔让你铲除这些家伙。
32,铲除树精王,0,15,0,31,1001,1012,0,1001,1012,30009,75000,0,0,0,1,100109,1,1001,54#35,0,62,0,0,0,63,0,铲除树精王,树精王更难对付，元虚师叔让你千万小心。
33,劝人别来,0,15,0,32,1001,1012,0,1001,1011,30010,80000,0,0,0,0,1011,65,1001,35#8,0,64,0,0,0,65,0,劝空妙儿别来这儿,师叔让你找空妙儿，告诉她不要来这个危险的地方玩耍。
34,采集无心草,0,15,0,33,1001,1011,0,1001,1011,30011,80000,0,0,0,7,4,3,1001,33#8,0,66,0,0,0,67,0,采集无心草,空妙儿让你帮她采集一种美丽的植物，无心草。
35,告知掌门,0,15,0,32,1001,1012,0,1001,1008,30012,85000,0,0,0,0,1008,69,1001,13#12,0,68,0,0,0,69,0,告知掌门后山情况,将后山发生的事告知掌门，掌门表示淡定，不要惊慌。
36,准备下山,0,15,0,35,1001,1008,0,1002,1015,0,5000,0,0,0,0,1015,71,1002,31#13,0,70,0,0,0,71,0,去诛邪城参加品阶大会,掌门对你的表现相当满意，推荐你去诛邪城参加品阶大会。
37,意外收获,0,16,0,36,1002,1015,0,1002,1015,0,85000,0,0,0,0,1015,73,1002,31#13,0,72,0,0,0,73,0,与缺心婆对话,遇到了一个唠叨的老太婆，耐心地听她唠叨兴许有什么收获。
38,交换消息,0,16,0,37,1002,1015,0,1002,1015,0,85000,0,0,25000,0,1015,75,1002,31#13,0,74,0,0,0,75,0,和缺心婆交换消息,珍贵的消息总要价格合理，告诉缺心婆树精王的消息用来交换
39,找郝抠门,0,16,0,38,1002,1015,0,1002,1016,0,90000,0,0,25000,0,1016,77,1002,26#21,0,76,0,0,0,77,0,去找郝抠门,缺心婆让你去找郝抠门告诉他树精王的消息
40,装备合成,1,16,0,39,1002,1016,30013,1002,1016,0,1000,0,0,0,0,1016,79,1002,26#21,0,78,0,0,0,79,0,完成一次合成,一堆废铜烂铁也能创造出修仙至宝，跟着学学方法吧。
41,询问货物,1,16,0,38,1002,1026,0,1002,1015,0,198000,0,0,0,0,1015,81,1002,31#13,0,80,0,0,0,81,0,找缺心婆讨债,颜如玉让你帮忙去缺心婆那里问问货物处理情况。
42,帮忙讨债,1,16,0,41,1002,1015,0,1002,1016,30014,198000,0,0,0,0,1016,83,1002,26#21,0,82,0,0,0,83,0,找郝抠门说明情况,缺心婆说货物卖给郝抠门了，去郝抠门那里问问吧。
43,讲述原因,1,16,0,42,1002,1016,0,1002,1016,30015,198000,0,0,0,0,1016,85,1002,26#21,0,84,0,0,0,85,0,听郝抠门讲述原因,郝抠门讲述不还钱原因，货物被人盗走跟他没有关系。
44,告知货物被盗,1,16,0,43,1002,1016,0,1002,1015,30016,198000,0,0,0,0,1015,87,1002,31#13,0,86,0,0,0,87,0,告知缺心婆,将货物被盗一事告诉缺心婆，看看缺心的怎么对付抠门的。
45,自找麻烦,1,16,0,44,1002,1015,0,1002,1016,30017,198000,0,0,0,0,1016,89,1002,26#21,0,88,0,0,0,89,0,告知郝抠门,缺心婆让你告诉郝抠门，如果他不还钱就是自找麻烦。
46,宝贝抵债,1,16,0,45,1002,1016,0,1002,1016,30018,198000,0,0,0,0,1016,91,1002,26#21,0,90,0,0,0,91,0,说服郝抠门,郝抠门竟然有私人小金库，说服用他用金库里的宝贝抵债。
47,抵偿货款,1,16,0,46,1002,1016,0,1002,1015,30019,198000,0,0,0,0,1015,93,1002,31#13,0,92,0,0,0,93,0,告诉缺心婆处理结果,告诉缺心婆去郝抠门哪里选宝贝，以抵偿货款，这事就这么解决了。
48,收到货款,1,16,0,47,1002,1015,0,1002,1026,30020,198000,0,0,0,0,1026,95,1002,36#43,0,94,0,0,0,95,0,告知颜如玉货款一事,送货款给颜如玉，这趟折腾终于结束了。
49,专属坐骑,1,17,0,48,1002,1026,0,1002,1026,0,2000,0,0,0,0,1026,97,1002,36#43,0,96,0,0,0,97,0,使用坐骑,行走江湖光靠双脚是不行的，挑选一个你的专属坐骑吧。
50,找人帮忙,0,17,0,38,1002,1016,0,1002,1016,0,100000,0,0,0,0,1016,99,1002,26#21,0,98,0,0,0,99,0,去找颜如玉帮忙,颜如玉与品阶大会有很大关系，你去她那里会有收获。
51,帮送家书,0,17,0,50,1002,1026,0,1002,1017,0,100000,0,0,0,0,1017,101,1002,45#19,0,100,0,0,0,101,0,给颜如玉送家书,原来第一美女颜如玉向你撒娇，是想你帮忙送家书给傲八方。
52,装备升星,1,18,0,51,1002,1026,30021,1002,1026,0,5000,0,0,0,0,1026,103,1002,36#43,0,102,0,0,0,103,0,讲装备升星,颜如玉手把手教学，怎样才能愉快滴在装备上砸上好多星星？
53,信的意义,0,18,0,51,1002,1017,0,1002,1017,0,110000,0,0,0,0,1017,105,1002,45#19,0,104,0,0,0,105,0,与傲八方对话,傲八方向你解释这封信的真实意义，你不妨听一听。
54,拜见玄虚子,0,18,0,53,1002,1017,0,1002,1018,0,120000,0,0,0,0,1018,107,1002,59#10,0,106,0,0,0,107,0,与玄虚子对话,傲八方让你把推荐信给玄虚子，莫名其妙被推荐了你什么感受？
55,信的内容,0,19,0,54,1002,1018,0,1002,1018,0,130000,0,0,0,0,1018,109,1002,59#10,0,108,0,0,0,109,0,与玄虚子对话,听玄虚子讲述推荐信的内容，真是走了狗屎运。
56,拜师,0,19,0,55,1002,1018,0,1002,1018,0,140000,0,0,0,0,1018,111,1002,59#10,0,110,0,0,0,111,0,拜玄虚子为师,玄虚子决定收你为徒，其实你一开始是拒绝的。
57,查看贪狼山,0,20,0,56,1002,1018,0,1003,1019,0,150000,0,0,0,0,1019,113,1003,10#6,0,112,0,0,0,113,0,去贪狼山附近查看情况,贪狼山附近妖孽横行，玄虚子让你去查看情况。
58,磨人的小妖,0,20,0,57,1003,1019,0,1003,1019,0,160000,0,0,0,1,100301,5,1003,6#14,0,114,0,0,0,115,0,铲除长爪怪,唐不色这个贪生怕死的少爷让你赶紧解决这些磨人的小妖。
59,采集狐狸皮,0,21,0,58,1003,1019,0,1003,1019,0,170000,0,0,0,1,100302,5,1003,17#8,0,116,0,0,0,117,0,采集一些狐狸皮子,唐不色让你帮忙采集一些好看的狐狸皮子。
60,寻找美人,0,21,0,59,1003,1019,0,1003,1020,0,180000,0,0,0,0,1020,119,1003,51#7,0,118,0,0,0,119,0,寻找赛玉凤,唐不色让你去找一个“美女”，查看她是否安全。
61,惩戒山贼,0,22,0,60,1003,1020,0,1003,1020,0,200000,0,0,0,1,100303,3,1003,62#10,0,120,0,0,0,121,0,教训一些山贼,帮赛玉凤惩戒山贼，果然人不可貌相。
62,采集扶元草,0,22,0,61,1003,1020,0,1003,1020,0,250000,0,0,0,7,5,3,1003,43#7,0,122,0,0,0,123,0,采集扶元草,赛玉凤让你帮忙采些扶元草压压惊，看不出她那么娇弱啊！
63,寻找姥姥,0,23,0,62,1003,1020,0,1003,1021,0,250000,0,0,0,0,1021,125,1003,65#24,0,124,0,0,0,125,0,寻找非命姥姥,赛玉凤担心非命姥姥的安危，让你前去查看。
64,姥姥讲故事,0,23,0,63,1003,1021,0,1003,1021,0,300000,0,0,0,0,1021,127,1003,65#24,0,126,0,0,0,127,0,听姥姥讲故事,姥姥真是爱讲故事，你姑且听一听。
65,铲除羚羊,0,24,0,64,1003,1021,0,1003,1021,0,300000,0,0,0,1,100304,3,1003,56#23,0,128,0,0,0,129,0,铲除幻境中的羚羊,原来这里处处皆是虚幻，杀死这些虚假的东西！
66,铲除爆熊,0,24,0,65,1003,1021,0,1003,1021,0,350000,0,0,0,1,100305,3,1003,58#36,0,130,0,0,0,131,0,清除幻境中的爆熊,姥姥打不动怪了，让你去清除剩下的坏蛋。
67,寻找师叔,0,25,0,66,1003,1021,0,1003,1022,0,400000,0,0,0,0,1022,133,1003,43#33,0,132,0,0,0,133,0,去找元虚师叔,姥姥让你去找道长，找出破除幻境的方法。
68,告知情况,0,25,0,67,1003,1022,0,1003,1022,0,400000,0,0,0,0,1022,135,1003,43#33,0,134,0,0,0,135,0,听师叔讲话,师叔询问你在这里有什么发现，你告诉他……
69,寻找师姐,0,26,0,68,1003,1022,0,1003,1023,0,450000,0,0,0,0,1023,137,1003,32#25,0,136,0,0,0,137,0,去找千叶师姐,没想到千叶师姐也来了，赶紧去看看她。
70,采集止血草,0,26,0,69,1003,1023,0,1003,1023,0,500000,0,0,0,7,6,3,1003,44#24,0,138,0,0,0,139,0,采集止血草,千叶师姐受了伤，赶紧采点止血草过来吧。
71,铲除黑蜘蛛,0,27,0,70,1003,1023,0,1003,1023,0,500000,0,0,0,1,100306,5,1003,27#24,0,140,0,0,0,141,0,铲除黑蜘蛛,师姐说这些怪物有毒，让你把周边怪物清理干净。
72,寻找师叔,0,27,0,71,1003,1023,0,1003,1022,0,600000,0,0,0,0,1022,143,1003,43#33,0,142,0,0,0,143,0,去找元虚师叔,告知元虚师叔师姐受伤一事，尽快解除幻境才好。
73,寻找江湖人,0,28,0,72,1003,1022,0,1003,1024,0,600000,0,0,0,0,1024,145,1003,8#26,0,144,0,0,0,145,0,寻找剑三十,幻境解除了，元虚师叔让你去查看被困的江湖人士。
74,魔域消息,0,28,0,73,1003,1024,0,1003,1024,0,650000,0,0,0,0,1024,147,1003,8#26,0,146,0,0,0,147,0,听剑三十讲述,剑三十讲述一些魔域之事，当故事听一听也不错。
75,采集火猿爪,0,29,0,74,1003,1024,0,1003,1024,0,700000,0,0,0,1,100307,5,1003,6#36,0,148,0,0,0,149,0,采集火猿爪,剑三十让你帮忙采集一些火猿爪，这是救人用的，还是帮帮吧。
76,通知江湖人,0,29,0,75,1003,1024,0,1002,1025,0,700000,0,0,0,0,1025,151,1002,61#29,0,150,0,0,0,151,0,去诛邪城告知情况,剑三十让你去诛邪城，将这里的情况告知江湖人。
77,通知高人,0,30,0,76,1002,1025,0,1002,1018,0,800000,0,0,0,0,1018,153,1002,59#10,0,152,0,0,0,153,0,告诉山中情况,去找玄虚子，将山中发生的情况告诉他。
78,告知军队,0,30,0,77,1002,1018,0,1004,1027,0,800000,0,0,0,0,1027,155,1004,7#42,0,154,0,0,0,155,0,协助讨伐魔域,玄虚子让你协助刀无形讨伐魔域，是时候展现真正的实力了。
79,分析形势,1,30,0,76,1002,1038,0,1002,1038,0,198000,0,0,0,0,1038,157,1002,37#23,0,156,0,0,0,157,0,告知碎片一事,刀无形打算用智商来压制魔域入侵，听听他的想法。
80,询问情况,1,30,0,79,1002,1038,0,1002,1039,0,198000,0,0,0,0,1039,159,1002,20#30,0,158,0,0,0,159,0,找王大锤询问情况,刀无形让你询问王大锤战前准备情况，锤锤好帅。
81,回复将军,1,30,0,80,1002,1039,0,1002,1038,30022,198000,0,0,0,0,1038,161,1002,37#23,0,160,0,0,0,161,0,回复刀无形,将准备情况告诉刀无形
82,小心陷阱,0,31,0,78,1004,1027,0,1004,1028,0,900000,0,0,0,0,1028,163,1004,23#33,0,162,0,0,0,163,0,通知大锤小心,魔域一片阴暗，刀无形让你去通知士兵们小心陷阱。
83,报告将军,0,31,0,82,1004,1028,0,1004,1027,0,900000,0,0,0,0,1027,165,1004,7#42,0,164,0,0,0,165,0,报告将军,很多士兵已被魔气感染，失去战斗力，快去告知将军。
84,大杀四方,0,32,0,83,1004,1027,0,1004,1027,0,1000000,0,0,0,1,100401,5,1004,9#30,0,166,0,0,0,167,0,将军生气要砍孤魂野鬼,刀无形被魔域的恶劣行为激怒了，后果很严重！将军要砍怪啦！
85,潜入内部,0,32,0,84,1004,1027,0,1004,1029,0,1000000,0,0,0,0,1029,169,1004,49#29,0,168,0,0,0,169,0,与伽罗蓝对话,部分士兵被感染了，想办法接近魔族人取得信任获得解药。
86,取得信任,0,33,0,85,1004,1029,0,1004,1029,0,1100000,0,0,0,0,1029,171,1004,49#29,0,170,0,0,0,171,0,送给伽罗蓝一些甜食,伽罗蓝想吃一些人界的美食，这是个获取信任的好机会，满足她！
87,找解药,0,33,0,86,1004,1029,0,1004,1029,0,1100000,0,0,0,1,100402,3,1004,59#28,0,172,0,0,0,173,0,收集厉鬼精元,原来魔毒可以用魔兵傀儡的精元解除，伽罗蓝让你从厉鬼身上收集。
88,奇怪的气息,0,34,0,87,1004,1029,0,1004,1030,0,1200000,0,0,0,0,1030,175,1004,49#29,0,174,0,0,0,175,0,找娑罗七煞,伽罗蓝说你身上有一股魔族的气味，让你去找她的师父娑罗七煞。
89,强大的魔气,0,34,0,88,1004,1030,0,1004,1030,0,1200000,0,0,0,7,7,3,1004,55#8,0,176,0,0,0,177,0,采集扶元草,娑罗七煞把你身上的气息说的很严重，管他啦！采集些扶元草吧。
90,新的力量,0,35,0,89,1004,1030,0,1004,1030,30023,1400000,0,0,0,1,100403,4,1004,37#25,0,178,0,0,0,179,0,试试新力量,体内魔气被疏导，仿佛获得了新的力量，赶紧去试试。
91,找长老,0,35,0,90,1004,1030,0,1004,1033,0,1400000,0,0,0,0,1033,181,1004,63#4,0,180,0,0,0,181,0,寻找阿修罗,娑罗七煞让你去找大长老阿修罗，或许他知道是怎么回事。
92,了解历史,0,36,0,91,1004,1033,0,1004,1033,0,1600000,0,0,0,0,1033,183,1004,63#4,0,182,0,0,0,183,0,听阿修罗讲述往事,阿修罗告诉你这六界本就是魔族的六界，你反正是不信的。
93,洪荒之乱,0,36,0,92,1004,1033,0,1004,1033,0,1600000,0,0,0,0,1033,185,1004,63#4,0,184,0,0,0,185,0,听阿修罗讲洪荒之乱,阿修罗告诉你洪荒之乱的起因，洪荒之时魔尊冥夜遭诸神诛杀……
94,找同伴,0,37,0,93,1004,1033,0,1004,1031,0,1800000,0,0,0,0,1031,187,1004,17#5,0,186,0,0,0,187,0,寻找花骨子,阿修罗看告诉你这里马上被魔尊废弃，你得去找自己的同伴。
95,收集精元,0,37,0,94,1004,1031,0,1004,1031,0,1800000,0,0,0,1,100404,5,1004,8#7,0,188,0,0,0,189,0,收集傀儡精元,花骨子知道了解除魔毒的方法让你帮忙收集些魔化妖道精元。
96,多多采草,0,38,0,95,1004,1031,0,1004,1031,0,2000000,0,0,0,7,8,3,1004,20#10,0,190,0,0,0,191,0,采集止血草,还要救助很多受伤的人，止血草这些必需品还是能多采就多采吧。
97,听从指示,0,38,0,96,1004,1031,0,1004,1032,0,2000000,0,0,0,0,1032,193,1004,21#14,0,192,0,0,0,193,0,寻找元真师叔,元真师叔也在这附近，前去问问师叔有什么指示吧。
98,铲除傀儡,0,39,0,97,1004,1032,0,1004,1032,0,2200000,0,0,0,1,100405,5,1004,14#16,0,194,0,0,0,195,0,铲除魔化书生,到处都是魔兵傀儡，看着真不爽！能少一些是一些。
99,通知玄虚子,0,39,0,98,1004,1032,0,1002,1018,0,2500000,0,0,0,0,1018,197,1002,59#10,0,196,0,0,0,197,0,通知玄虚子,此地不宜久留，元真师叔让你回城将情况告知玄虚子。
100,碎片来历,0,40,0,99,1002,1018,0,1002,1018,0,2600000,0,0,0,0,1018,199,1002,59#10,0,198,0,0,0,199,0,了解碎片,玄虚子向你讲述了元石碎片的来历，集齐碎片就能获得冥夜的力量。
101,救援儿童,0,40,0,100,1002,1018,0,1005,1034,0,2800000,0,0,0,0,1034,201,1005,66#31,0,200,0,0,0,201,0,去竹林村找剑三十,现在需要休养生息，还是先去竹林村救援被抓的童男童女吧。
102,打听情况,1,40,0,100,1002,1015,0,1002,1026,0,298000,0,0,0,0,1026,203,1002,36#43,0,202,0,0,0,203,0,打听情况,孩子被妖怪抓走了？去颜如玉那里打听孩子被抓的情况。
103,孩子被抓,1,40,0,102,1002,1026,0,1002,1016,0,298000,0,0,0,0,1016,205,1002,26#21,0,204,0,0,0,205,0,孩子被抓,郝抠门的孩子被抓走了，可以问问他一些情况。
104,请求救援,1,40,0,103,1002,1016,0,1002,1018,30024,298000,0,0,0,0,1018,207,1002,59#10,0,206,0,0,0,207,0,请求救援,官府不敢惹这些妖怪，郝抠门让你找玄虚子帮忙。
105,寻找孩子,0,41,0,101,1005,1034,0,1005,1034,0,3000000,0,0,0,0,1034,209,1005,66#31,0,208,0,0,0,209,0,寻找失踪的孩子,狐妖本不会主动进攻人类，先找到孩子们再说。
106,搜集钥匙,0,41,0,105,1005,1034,0,1005,1034,0,3100000,0,0,0,1,100501,5,1005,59#28,0,210,0,0,0,211,0,搜集小妖身上的钥匙,孩子们被锁了起来，从这些看守的小妖身上找到钥匙。
107,寻找狐妖,0,42,0,106,1005,1034,0,1005,1035,0,3300000,0,0,0,0,1035,213,1005,59#14,0,212,0,0,0,213,0,寻找害人的狐妖,为避免狐妖继续害人，还是把她找出来消灭掉才行。
108,狐妖的道理,0,42,0,107,1005,1035,0,1005,1035,0,3500000,0,0,0,0,1035,215,1005,59#14,0,214,0,0,0,215,0,听狐狸的道理,狐妖让你不忙解决她，姑且听听她有什么道理吧。
109,救妖一命,0,43,0,108,1005,1035,0,1005,1035,0,3700000,0,0,0,7,9,3,1005,64#17,0,216,0,0,0,217,0,采集扶元草,这些小妖被人夺取了内丹也是可怜，采些扶元草吃或许有救。
110,狐之将死,0,43,0,109,1005,1035,0,1005,1035,0,3800000,0,0,0,0,1035,219,1005,59#14,0,218,0,0,0,219,0,听狐狸的遗言,狐妖将她最后一口气传给了你，你且听听她的遗言。
111,替妖报仇,0,44,0,110,1005,1035,0,1005,1036,0,4000000,0,0,0,0,1036,221,1005,26#12,0,220,0,0,0,221,0,找道士问明情况,娇娘子说一个臭道士夺走了她的内丹，你要前去会会这个道士。
112,尝试口遁,0,44,0,111,1005,1036,0,1005,1036,0,4200000,0,0,0,0,1036,223,1005,26#12,0,222,0,0,0,223,0,跟道士讲道理,这个臭道士竟然谴责你善恶不分，试试能不能口遁干掉他。
113,动手解决,0,45,0,112,1005,1036,0,1005,1036,30025,4400000,0,0,0,1,100502,5,1005,31#17,0,224,0,0,0,225,0,铲除道士的宠物,与坏人讲道理真是浪费力气，果然得动手处理了。
114,解决帮手,0,45,0,113,1005,1036,0,1005,1036,0,4800000,0,0,0,1,100503,5,1005,41#11,0,226,0,0,0,227,0,铲除道士的帮手,这臭道士很生气，又叫来许多帮手，赶紧解决掉吧。
115,道士跑了,0,46,0,114,1005,1036,0,1005,1040,0,5000000,0,0,0,0,1040,229,1005,40#33,0,228,0,0,0,229,0,寻找了无音,臭道士见形势不对，趁机逃跑了，你去找这附近的了无音。
116,消失的村子,0,46,0,115,1005,1040,0,1005,1040,0,5200000,0,0,0,0,1040,231,1005,40#33,0,230,0,0,0,231,0,了解消失的村子,了无音告诉你这里曾经有个村子一夜之间消失，你感觉在听鬼故事。
117,欠揍的人,0,47,0,116,1005,1040,0,1005,1040,0,5500000,0,0,0,1,100504,5,1005,28#38,0,232,0,0,0,233,0,清除其他堕落妖道,这里小妖内丹纯净，还有很多潜伏的堕落修道者，清除他们。
118,为妖超度,0,47,0,117,1005,1040,0,1005,1040,0,5700000,0,0,0,7,10,3,1005,29#32,0,234,0,0,0,235,0,采集蓍草,了无音要为那些惨死的妖怪超度，你采集些蓍草准备准备。
119,拜见师父,0,48,0,118,1005,1040,0,1005,1037,0,5900000,0,0,0,0,1037,237,1005,7#31,0,236,0,0,0,237,0,寻找玄虚子,玄虚子正在附近调查什么，了无音让你去拜见师父。
120,毁灭原因,0,48,0,119,1005,1037,0,1005,1037,0,6300000,0,0,0,0,1037,239,1005,7#31,0,238,0,0,0,239,0,了解村子毁灭原因,师父说千叶师姐就是在这里救的你，但是真的毫无印象啊！
121,采集玄铁石,0,49,0,120,1005,1037,0,1005,1037,0,6400000,0,0,0,7,11,3,1005,6#23,0,240,0,0,0,241,0,采集玄铁石,村子的事情暂时搁置，采采石头打打铁补充下军需物资。
122,一起回城,0,49,0,121,1005,1037,0,1002,1018,0,6800000,0,0,0,0,1018,243,1002,59#10,0,242,0,0,0,243,0,和师父回城,虽然还没有玩够，但还是正事要紧，回城找师父吧。
